DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,Y,AUS,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2023-Q1,510316,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,Y,AUS,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2007-Q2,223718,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,Y,AUS,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2025-Q2,558592,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,Y,AUS,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q3,329555,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q2,224147,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q1,217391,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q4,232664,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q3,217446,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q2,212048,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q1,204478,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q4,221002,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q3,203887,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q4,193315,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q3,178292,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q2,171399,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2001-Q1,168917,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q4,178719,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q3,169536,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q2,163326,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2000-Q1,159704,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2023-Q1,596393,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2007-Q3,273113,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2007-Q2,266260,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2007-Q1,253798,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2006-Q4,270077,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2006-Q3,251870,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2006-Q2,240629,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2006-Q1,234144,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q4,251750,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q3,234954,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q1,476470,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2019-Q4,511693,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2019-Q3,492215,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2019-Q2,482301,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2014-Q3,395601,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2014-Q2,393662,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2014-Q1,375465,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2009-Q1,294740,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2008-Q4,320873,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2008-Q3,306562,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2024-Q2,532824,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2022-Q1,543192,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q3,532799,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2007-Q4,294217,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2018-Q4,486875,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2018-Q3,461837,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2018-Q2,456247,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2018-Q1,434560,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q4,459330,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q3,439431,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q2,435915,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q1,419179,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q4,444078,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q3,415955,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q2,409530,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q1,390655,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q4,419396,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q3,404900,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q2,399490,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2015-Q1,385382,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2014-Q4,414296,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q2,196736,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q1,189145,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q4,204117,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,AUS,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q3,191981,,,F,1,A,6,AUD
