iso3,year,variable,value
AFE,2025,pop,788844284.0
AFE,2024,pop,769280888.0
AFE,2023,pop,750491370.0
AFE,2022,pop,731821393.0
AFE,2021,pop,713090928.0
AFE,2020,pop,694446100.0
AFE,2019,pop,675950189.0
AFE,2018,pop,657801085.0
AFE,2017,pop,640058741.0
AFE,2016,pop,623369401.0
AFE,2015,pop,607123269.0
AFE,2014,pop,590968990.0
AFE,2013,pop,575202699.0
AFE,2012,pop,559609961.0
AFE,2011,pop,544737983.0
AFE,2010,pop,530308387.0
AFE,2009,pop,516003448.0
AFE,2008,pop,502070763.0
AFE,2007,pop,488580707.0
AFE,2006,pop,475606210.0
AFE,2005,pop,463076637.0
AFE,2004,pop,450928044.0
AFE,2003,pop,439173286.0
AFE,2002,pop,427820358.0
AFE,2001,pop,416807868.0
AFE,2000,pop,406156661.0
AFE,1999,pop,395750933.0
AFE,1998,pop,385505757.0
AFE,1997,pop,375646235.0
AFE,1996,pop,366138524.0
AFE,1995,pop,356580375.0
AFE,1994,pop,347441809.0
AFE,1993,pop,338324002.0
AFE,1992,pop,329082707.0
AFE,1991,pop,320442961.0
AFE,1990,pop,311748681.0
AFW,2025,pop,532809933.0
AFW,2024,pop,520655398.0
AFW,2023,pop,508318102.0
AFW,2022,pop,496366058.0
AFW,2021,pop,484978794.0
AFW,2020,pop,473687685.0
AFW,2019,pop,462522286.0
AFW,2018,pop,451395343.0
AFW,2017,pop,440150152.0
AFW,2016,pop,428797338.0
AFW,2015,pop,417536152.0
AFW,2014,pop,406457241.0
AFW,2013,pop,395543613.0
AFW,2012,pop,384913331.0
AFW,2011,pop,374374251.0
AFW,2010,pop,363951468.0
AFW,2009,pop,353922925.0
AFW,2008,pop,344153435.0
AFW,2007,pop,334544275.0
AFW,2006,pop,325222154.0
AFW,2005,pop,316156999.0
AFW,2004,pop,307309912.0
AFW,2003,pop,298744790.0
AFW,2002,pop,290455651.0
AFW,2001,pop,282407479.0
AFW,2000,pop,274612131.0
AFW,1999,pop,267171783.0
AFW,1998,pop,259988556.0
AFW,1997,pop,252921348.0
AFW,1996,pop,246128722.0
AFW,1995,pop,239501493.0
AFW,1994,pop,233041347.0
AFW,1993,pop,226927299.0
AFW,1992,pop,220890339.0
AFW,1991,pop,214885785.0
AFW,1990,pop,209281291.0
ARB,2025,pop,503356133.0
ARB,2024,pop,492612632.0
ARB,2023,pop,482105978.0
ARB,2022,pop,471352066.0
ARB,2021,pop,460646603.0
ARB,2020,pop,453723239.0
ARB,2019,pop,444281315.0
ARB,2018,pop,435998060.0
