year,inv
1960,23638465762.3723
1961,11415559017.7792
1962,7429461014.2379
1963,11034704004.2505
1964,14537402056.7802
1965,19089166799.6989
1966,23364655783.6128
1967,17391384871.8564
1968,17665789279.347
1969,19933364229.3127
1970,30438001510.2715
1971,33570752158.2706
1972,35525993382.8226
1973,45658319637.5218
1974,47879670018.0051
1975,57258710409.539
1976,51138255627.9827
1977,59266474723.3725
1978,56233026138.2114
1979,64710334643.4783
1980,66147553729.1667
1981,64535523825.3968
1982,65587896076.3359
1983,73648734593.8697
1984,89365467310.7143
1985,120898734132.653
1986,113467013495.652
1987,101875915735.426
1988,122062518395.062
1989,129399924939.271
1990,123261300353.728
1991,136646341463.415
1992,168436420722.135
1993,194146834054.33
1994,228350004171.142
1995,288574980748.776
1996,328101104439.105
1997,345888214420.174
1998,362851218716.172
1999,377885422643.675
2000,411581609430.883
2001,481361274306.312
2002,537360529962.884
2003,663929616359.091
2004,826107816292.792
2005,931147769850.739
2006,1107937379082.9
2007,1449626501735.39
2008,1958452391146.2
2009,2331586892087.97
2010,2854917581561.38
2011,3549745173730.83
2012,3974006124201.62
2013,4474277400763.55
2014,4836794860984.92
2015,4820854761847.03
2016,4827410068932.43
2017,5334698476272.63
2018,6127938860545.8
2019,6212755948025.48
2020,6384329452073.95
2021,7768896607600.43
2022,7758145200097.73
2023,7514544752835.9
2024,7582053246054.77
